# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanPoisson4_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanPoisson4_1.data.R
# init = 2 (Default)
# random
#   seed = 2089485083
# output
#   file = CmdStanPoisson4_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a0,a0s.1,a0s.2,a0s.3,a0s.4,a0s.5,a0s.6,a0s.7,a0s.8,a0s.9,a0s.10,a1,a0_sig
12663.6,0.880701,0.00318459,6,63,0,-12657.5,-0.398339,-0.103509,0.0344085,0.0318538,0.0215776,-0.377385,0.307667,0.209193,-0.0179888,-0.138964,0.392359,0.634724,0.221304
12662.4,0.772024,0.0039421,6,127,0,-12654.9,-0.345993,-0.0406654,-0.140305,0.0501043,0.122733,-0.393114,0.350983,0.143191,0.00562735,-0.0431559,0.386569,0.626923,0.246021
12662.7,0.173368,0.00387788,8,447,0,-12650.5,-1.25819,-0.152885,0.250064,-0.132869,0.132551,-0.468812,0.380817,0.0142913,-0.107364,-0.195744,0.299918,0.73372,0.312932
12658.8,0.999786,0.00109781,8,511,0,-12653.4,-1.38843,-0.234593,-0.00445107,-0.258777,-0.0756644,-0.594296,0.270068,-0.0352638,-0.123613,-0.381459,0.507154,0.757087,0.302265
12657.2,0.993286,0.00174155,8,383,0,-12653.8,-1.39175,-0.290852,0.251464,-0.332473,-0.052403,-0.587183,0.45571,-0.0831976,-0.210374,-0.357097,0.0414846,0.765824,0.227626
12659.7,0.999792,0.00271236,8,255,0,-12649.2,-1.41657,-0.133843,0.366943,-0.164825,0.0415216,-0.495484,0.382093,0.155532,-0.0324112,-0.15088,0.533555,0.747867,0.342434
12659.7,2.11207e-05,0.00426058,2,5,0,-12650.1,-1.41657,-0.133843,0.366943,-0.164825,0.0415216,-0.495484,0.382093,0.155532,-0.0324112,-0.15088,0.533555,0.747867,0.342434
12662.7,0.99139,0.000868437,8,255,0,-12657.2,-1.40273,-0.075307,0.404448,-0.127085,0.102518,-0.495275,0.391599,0.101828,-0.0917387,-0.220749,0.481375,0.748846,0.338608
12662.7,0.996839,0.00134217,8,383,0,-12657.5,-1.52016,-0.168798,0.0410569,-0.213468,-0.10675,-0.480375,0.485598,-0.0606617,-0.128007,-0.293674,0.349082,0.771568,0.33953
12664.6,0.962501,0.00208766,9,575,0,-12657.2,0.237498,0.0391167,-0.0922068,0.168006,0.109939,-0.434998,0.248117,0.28969,-0.0830476,0.0421205,0.284968,0.566196,0.191601
12661.2,0.853418,0.00301709,6,63,0,-12657.7,0.261337,0.0248248,-0.170556,0.182398,0.0983312,-0.472652,0.266769,0.244486,-0.00939126,-0.0215978,0.375883,0.560077,0.191961
12661.4,0.369189,0.00349332,6,63,0,-12653.5,0.262504,0.0170419,-0.165146,0.19101,0.0855448,-0.468777,0.273678,0.251922,-0.022139,-0.021713,0.385127,0.560336,0.193004
12663.4,0.999985,0.00154241,7,127,0,-12656.8,0.108458,-0.00423881,-0.166172,0.0343899,0.205114,-0.421149,0.23688,0.342715,-0.117019,-0.0648826,0.393033,0.578712,0.215049
12660.6,0.744864,0.00238998,9,1023,0,-12654.5,1.12059,-0.0569759,-0.602247,0.0450672,-0.0864319,-0.627537,-0.0570648,0.301763,-0.346016,-0.141502,0.125762,0.482634,0.335369
12660,0.999467,0.0022314,9,1023,0,-12649.6,0.431768,-0.0556302,-0.203751,0.0397942,-0.0292106,-0.631153,0.231293,0.298651,-0.337575,-0.136726,0.191805,0.55206,0.396586
12660.3,0.114389,0.00343244,5,39,0,-12655.2,0.4473,-0.0329484,-0.23113,0.0564661,-0.0205848,-0.67021,0.214609,0.293403,-0.334021,-0.159256,0.227407,0.551528,0.385059
12662.5,0.992443,0.000935915,8,255,0,-12655.5,0.382796,-0.0930489,-0.209524,0.0838831,0.0020551,-0.59885,0.0837051,0.172279,-0.229625,-0.183295,0.152261,0.561016,0.395271
12664.7,0.999,0.00141973,9,511,0,-12660.2,0.531752,0.0106331,-0.443971,0.203334,0.144063,-0.385993,0.16442,0.310122,-0.0648034,-0.0492206,0.183197,0.534602,0.201316
12665.1,0.985335,0.00217233,7,127,0,-12661.8,0.453562,0.0485232,-0.271085,0.0683141,0.11747,-0.41465,0.0906567,0.324608,-0.0883597,-0.0546037,0.279101,0.544576,0.199313
12662.5,0.801534,0.00322455,7,255,0,-12655.6,0.308319,0.0275232,-0.566699,0.0935513,0.116905,-0.445918,0.200074,0.261249,-0.194464,-0.0404848,0.356379,0.561944,0.442092
12654.8,0.827491,0.00335404,6,63,0,-12651.4,0.252931,0.0820355,-0.651313,0.162067,0.0486126,-0.353916,0.309508,0.348975,-0.34724,-0.12907,0.175232,0.56543,0.494024
12655.9,0.828829,0.0036638,8,255,0,-12648.3,0.265142,0.284503,-0.0173101,0.393926,0.178056,-0.346454,0.350912,0.565878,0.125035,0.123734,0.44296,0.542994,0.562764
12661.4,0.0721897,0.00400858,7,255,0,-12643.4,0.626207,0.0171774,-0.181157,0.242559,0.169894,-0.34354,0.309479,0.384096,-0.267677,-0.0480201,0.201003,0.523096,0.407396
12660.5,0.98926,0.00104933,8,511,0,-12655.2,0.560519,0.191003,-0.295015,0.212948,0.127793,-0.277279,0.265443,0.366697,-0.252883,0.0588352,0.247999,0.526012,0.384824
12662.9,0.96586,0.00155926,9,511,0,-12654.7,0.239531,0.0754855,-0.229069,0.24853,0.20154,-0.207196,0.241698,0.41708,-0.17985,0.013966,0.35617,0.556275,0.270029
12658.8,0.966085,0.00220968,7,191,0,-12651.5,0.231272,0.0172494,-0.347071,0.204534,0.126488,-0.192169,0.22463,0.439797,-0.152445,0.105521,0.371079,0.559967,0.275643
12660.4,0.695651,0.00312286,6,63,0,-12651.1,0.280786,0.259474,-0.236428,0.220653,0.153416,-0.320147,0.253639,0.369915,-0.0147353,-0.0584723,0.36888,0.554355,0.257399
12658.7,0.422148,0.00266307,9,575,0,-12646.4,1.07837,0.130549,-0.359672,0.220353,0.0137376,-0.317877,0.0679597,0.454429,-0.166453,-0.140135,0.23768,0.474903,0.212285
12662.8,0.955631,0.00137136,7,255,0,-12653.8,1.01906,0.118659,-0.280308,0.197804,0.0695983,-0.327165,0.0315501,0.359535,-0.171275,0.00178499,0.262868,0.483459,0.207341
12662.7,0.980417,0.00189584,7,255,0,-12658.2,1.15898,0.00649392,-0.237519,0.210489,0.0899151,-0.378409,0.177621,0.406013,-0.129293,-0.04831,0.134323,0.466734,0.170051
12656.9,0.893501,0.00273494,6,127,0,-12650.6,1.06516,0.0305045,-0.289875,0.249509,0.0667346,-0.303288,0.0821046,0.36579,-0.238196,-0.213919,0.0593461,0.479066,0.178447
12657.6,0.939625,0.00335587,6,63,0,-12652.3,1.1743,0.0762594,-0.277286,0.106279,0.139661,-0.5287,0.0451724,0.348716,-0.197909,0.0618484,0.254324,0.468893,0.183751
12662,0.63242,0.0357591,6,63,0,-12653.2,1.05738,0.0663265,-0.319163,0.224093,0.134284,-0.445265,-0.0199797,0.348382,-0.269708,-0.0211628,0.256068,0.479367,0.207677
12662,9.34846e-14,0.26367,1,2,1,-12652.9,1.05738,0.0663265,-0.319163,0.224093,0.134284,-0.445265,-0.0199797,0.348382,-0.269708,-0.0211628,0.256068,0.479367,0.207677
12661.4,0.516601,0.0365537,8,255,0,-12651.4,0.0967252,0.065861,-0.152615,0.251619,0.199568,-0.230048,0.488292,0.394671,0.067142,-0.00990502,0.214623,0.570984,0.30735
12662.1,0.986133,0.0127549,8,255,0,-12653.3,-0.493796,0.0553789,0.0627104,0.0731545,0.167481,-0.39264,0.221309,0.224727,-0.110623,-0.116047,0.490409,0.644622,0.307047
12662.9,0.991028,0.017064,7,127,0,-12658.2,-0.295651,-0.0859932,-0.230846,0.122261,0.113139,-0.397244,0.433142,0.25664,-0.013166,-0.0563138,0.208772,0.624378,0.216376
12662.6,0.810035,0.0264212,7,127,0,-12653.9,0.0309527,0.0143769,-0.176389,0.0547443,0.0432316,-0.533856,0.134483,0.180241,-0.267241,-0.140652,0.325531,0.597668,0.314353
12658.8,0.765319,0.0253963,7,127,0,-12653.7,0.309551,-0.0290353,-0.120223,-0.0213732,0.13411,-0.518028,0.160923,0.312382,-0.147015,-0.159106,0.21611,0.568886,0.452072
12659.6,0.999912,0.021819,7,127,0,-12650.5,0.833669,0.0021578,-0.454538,0.116645,-0.0826215,-0.371361,0.156458,0.27769,-0.181957,-0.0247891,0.147049,0.507649,0.15267
12663,0.999877,0.0398072,6,63,0,-12654.6,0.504352,0.00168098,-0.309966,0.0957978,0.0622287,-0.519182,0.0895359,0.346295,-0.226718,-0.147032,0.161284,0.54204,0.383582
