# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian_1.data.R
# init = 2 (Default)
# random
#   seed = 1750260049
# output
#   file = CmdStanGaussian_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-1.79909,0.653105,1.45367,2,3,0,3.08239,0.0510342,0.712471
-2.14516,0.761257,1.0857,1,3,0,2.81991,0.390562,0.851414
-1.68438,1,1.01496,2,3,0,2.12831,0.239325,0.781473
-1.68438,0.0409524,1.54432,2,3,0,2.68726,0.239325,0.781473
-1.92348,0.991967,0.334757,2,7,0,2.17879,0.153811,0.878007
-2.21475,0.974378,0.501784,3,7,0,3.78748,-0.0195395,0.881157
-2.86465,0.886767,0.723089,2,7,0,3.95771,0.317455,1.08131
-2.44539,0.986507,0.871522,2,7,0,3.58797,-0.00673962,0.96179
-2.43122,1,1.27834,2,3,0,2.50336,0.33201,0.576532
-2.43122,0.000391312,1.91856,2,3,0,4.97028,0.33201,0.576532
-1.92752,0.941217,0.400863,2,7,0,4.26615,0.00594931,0.740154
-2.31061,0.941878,0.537007,3,7,0,3.68179,0.218376,0.977418
-1.8549,0.961929,0.718292,3,7,0,3.66954,0.277773,0.635548
-1.75231,0.616373,0.996145,2,3,0,3.05804,0.14008,0.816855
-2.67365,0.946974,0.706427,2,3,0,2.71731,0.141216,0.532248
-2.58462,0.806281,0.949035,2,3,0,3.81595,0.463002,0.657127
-2.94524,0.94883,0.971258,2,7,0,3.5394,-0.19008,0.754135
-2.94524,0.375379,1.30396,1,3,0,4.09557,-0.19008,0.754135
-3.39909,1,0.58817,3,7,0,3.63977,-0.272504,0.827079
-2.53324,0.995124,0.869365,2,7,0,3.88282,0.453625,0.655286
-1.79758,1,1.26885,1,1,0,2.18186,0.30929,0.78575
-1.79758,0.0139237,1.86267,1,1,0,2.17501,0.30929,0.78575
-3.22178,0.951531,0.433458,2,7,0,3.82059,0.449504,1.10418
-1.70903,0.998277,0.582274,2,7,0,4.0467,0.0951178,0.695519
-2.3003,0.919514,0.850607,2,3,0,2.5032,0.448051,0.826672
-1.7145,0.902903,1.07141,2,3,0,2.38679,0.13716,0.799034
-2.85249,0.240311,1.30648,2,3,0,3.00391,0.356922,1.06511
-3.31662,0.976257,0.474426,2,7,0,5.65819,0.58692,1.00203
